id,name,address_line_1,formatted_address,city,state,pincode,country,latitude,longitude,delivery_radius_km,phone,opening_time,closing_time,is_active,store_id,emedix _name
00e8653a-9922-414a-b73d-75413dea9c07,Savitri Dawa Khana- Muzaffarpur,"Road No. 1, Opposite Union Bank of India, Juran Chhapra, Muzaffarpur - 842001, Bihar","Road No. 1, Opposite Union Bank of India, Juran Chhapra, Muzaffarpur - 842001, Bihar",Muzaffarpur,Bihar,842001,India,0,0,5,NULL,NULL,NULL,0,1,
08949a3d-1a78-4158-817f-9d47f6d56161,Jiffy Pharmacy - Rajpur Road,"Shop 12, Krishna Complex","Shop 12, Krishna Complex, Rajpur Road, Dehradun, Uttarakhand 248001, India",Dehradun,Uttarakhand,248001,India,30.3165,78.0322,15,NULL,9:00:00,22:00:00,1,2,
09de5249-5941-4e9f-9f85-5da1752bd2c4,Shaikpet Medical Store,"Shaikpet, Hyderabad, Telangana, India","Shaikpet, Hyderabad, Telangana, India",Hyderabad,Telengana,500001,India,17.4059875,78.3908428,15,NULL,9:00:00,22:00:00,1,3,
0a18c148-56c6-4076-9fa4-8995b14b0326,Chandrashekhar Medical,"Chandmari Rd, Opposite Ugam Pandey College, Netajee Subhash Colony, Motihari, Bihar 845401","Chandmari Rd, Opposite Ugam Pandey College, Netajee Subhash Colony, Motihari, Bihar 845401",Motihari,Bihar,845401,India,0,0,5,�9234572780,NULL,NULL,1,4,"EMEDIX SMART PHARMACY - Balua, Motihari"
0c3d628d-42cd-434b-be3c-f3a16cf10bce,Riddhima Drug mart,"Abhayan Arcade, Near Sharon's Public School, Ram Nagri, Ashiyana, Patna, Bihar 800025","Abhayan Arcade, Near Sharon's Public School, Ram Nagri, Ashiyana, Patna, Bihar 800025",Patna,Bihar,800025,India,0,0,5,�9540252627,NULL,NULL,1,5,EMEDIX SMART PHARMACY - Ramnagri Store
0dd29cec-a985-478a-b0c7-8633484a680f,Ranchi Medical- Tupudana Ranchi,"Kerkatta Complex, Shop No. C1, Near Jawed Habib, Tupudana Chowk, Hatia, Ranchi - 835221, Jharkhand","Kerkatta Complex, Shop No. C1, Near Jawed Habib, Tupudana Chowk, Hatia, Ranchi - 835221, Jharkhand",Ranchi,Jharkhand,835221,India,0,0,5,NULL,NULL,NULL,0,6,"EMEDIX SMART PHARMACY - Tupudana, Ranchi"
1355a2ad-8c30-4f2b-9edc-3fd4c652672b,Paul Medicals,"Palkot house , Near Mamta telecom, Lake road, Kishoreganj chowk, Ranchi - 834001","Palkot house , Near Mamta telecom, Lake road, Kishoreganj chowk, Ranchi - 834001",Kishoreganj chowk,,834001,India,0,0,5,9263765946,NULL,NULL,1,7,EMEDIX SMART PHARMACY - Kishoreganj Chowk
166ad498-56d6-4b5f-9410-c13dba7233f2,Kavita Medical,"Bhurbhura More, Near Panchmukhi Hanuman Mandir, Deoghar- 814157, Jharkhand","Bhurbhura More, Near Panchmukhi Hanuman Mandir, Deoghar- 814157, Jharkhand",Deoghar-,Jharkhand,814157,India,0,0,5,�9905507357,NULL,NULL,1,8,"EMEDIX SMART PHARMACY - Bhurbhura More, Deoghar"
18831e75-fff8-487a-97ee-e2320984f0c6,Dawai Mall,"Baba Jagannath Complex, Patepur Road, Mahua, Vaishali - 844122, Bihar","Baba Jagannath Complex, Patepur Road, Mahua, Vaishali - 844122, Bihar",Vaishali,Bihar,844122,India,0,0,5,8002557226,NULL,NULL,1,9,"EMEDIX SMART PHARMACY - Patepur road, Mahua"
1be47196-2239-4891-ae74-3e3f6ccf19bf,Azad Wellness Hub,"Shop No. 103, Al Hayat Palace Commercial Area, Naya Bazar, Dhanbad, 826001- Jharkhand","Shop No. 103, Al Hayat Palace Commercial Area, Naya Bazar, Dhanbad, 826001- Jharkhand",Dhanbad,Jharkhand,826001,India,0,0,5,9162179556,NULL,NULL,1,10,EMEDIX SMART PHARMACY - Dhanbad
